SampleID;x1;x2;y; 
1;15.32413;23.596359;92;
2;14.436739;21.169348;83;
3;14.56663;21.929674;69;
4;13.118152;19.813587;74;
5;15.736739;24.623859;88;
6;14.963043;22.758533;92;
7;16.053261;36.445707;92;
8;16.113043;41.3525;92;
9;16.053261;38.268043;92;
10;13.372826;40.850598;92;
11;16.161957;42.919946;92;
12;16.233696;39.885652;92;
13;15.595652;44.70288;92;
14;18.051087;46.11087;92;
15;14.122826;39.855435;92;
16;15.494565;38.46163;92;
17;14.619565;42.305543;92;
18;15.738043;45.372989;92;
19;17.511957;38.905815;92;
20;17.240217;41.133859;92;
21;15.728261;44.620652;92;
22;16.006522;40.32837;92;
23;17.329348;41.987717;92;
24;16.240217;70.859022;92;
25;16.405435;41.083913;92;
26;16.225;41.004076;92;
27;15.916304;32.629239;92;
28;16.231522;37.377337;92;
29;14.919565;34.698804;92;
30;16.322826;39.946685;88;
31;15.992065;26.495598;84;
32;17.450326;23.704728;89;
33;16.241087;28.540652;89;
34;16.706739;28.178207;75;
35;15.973587;34.877174;79;
36;16.09087;33.137826;75;
37;16.14913;28.897717;55;
38;14.97337;29.926413;84;
39;18.500652;26.754891;92;
40;16.999457;19.939402;66;
41;15.523913;21.826359;61;
42;16.295109;28.64538;92;
43;17.690435;31.350489;79;
44;14.851848;37.354728;86;
45;15.667826;29.433696;76;
46;16.119783;23.114837;20;
47;16.147826;29.730543;86;
48;16.265543;23.405543;73;
49;15.915;23.939674;58;
50;16.897283;25.6575;53;
51;16.165217;28.207446;89;
52;16.855109;28.636902;69;
53;15.123261;34.362391;55;
54;16.520978;28.47337;70;
55;15.779891;30.365543;59;
56;16.866522;30.943533;76;
57;16.125326;26.160489;91;
58;16.700217;23.72962;57;
59;18.314239;21.499457;22;
60;16.184891;32.546141;81;
61;17.272391;28.358696;53;
62;17.108478;36.545163;86;
63;18.840217;32.969402;70;
64;16.495326;26.478478;35;
65;15.582826;28.997228;42;
66;16.242935;19.611033;8;
67;16.031413;19.480054;0;
68;17.966087;18.947065;7;
69;16.403478;29.525217;87;
70;16.936848;25.675109;50;
71;17.288696;30.106141;42;
72;18.171957;30.415652;49;
73;18.317935;31.862391;53;
74;16.647935;29.826033;50;
75;16.861957;24.810163;46;
76;16.35163;22.525054;14;
77;17.356957;23.262989;6;
78;18.637283;33.781467;59;
79;17.57337;24.970435;70;
80;16.739022;35.574293;59;
81;16.871522;32.583424;64;
82;19.082935;32.413261;43;
83;16.821957;27.708261;43;
84;18.399022;24.636957;20;
85;16.912283;22.574674;26;
86;18.999674;22.692174;25;
87;18.336196;29.217391;67;
