SampleID;x1;x2;y;RandomEffect
9;0.125;45.75;111.1111111;5
12;0.039;0;116.25;5
13;0.717;6.5;102.6666667;6
14;0.696;1.25;93.33333333;6
19;0.12;6.5;103.3333333;5
20;0.363;10.75;92;3
21;0.25;19;95.38461538;3
22;0.795;2.75;92.22222222;5
24;1.157;1.5;95.55555556;6
25;1.391;28.75;106.6666667;3
28;0.041;1.5;110.7692308;4
29;3.04;4.25;102.3529412;6
30;1.817;2;98.33333333;5
31;1.599;0.75;84.28571429;4
32;0.776;4;91.42857143;6
35;0.25;0.25;88;5
36;0.234;2.75;94.54545455;5
37;0.436;30.75;102.1052632;2
38;0.085;0.75;123.3333333;4
39;1.202;44.5;76.66666667;4
41;2.131;3.25;62.22222222;5
51;0.94;38.5;105.4545455;6
52;0.018;19;127.2727273;5
53;0.978;7.75;82.66666667;6
54;1.017;17.25;102.1052632;5
56;0.968;6.5;102.8571429;5
58;0.604;3;106.25;5
59;4.009;20;98.46153846;5
63;1.671;27.75;82.5;4
67;4.091;8.75;86.15384615;5
70;3.125;45;66;4
72;0.447;1;103.6363636;4
75;0.245;35.25;101.4285714;3
78;0.093;4;117.5;3
79;0.142;16;104.2857143;5
83;0.551;2.5;83.63636364;6
84;1.242;1.75;87.27272727;4
86;0.023;29.25;116.9230769;4
87;0.056;22.75;100;4
88;0.495;22;101.5384615;3
100;0.621;1.5;95;4
142;2.463;62.5;81.81818182;3
161;2.421;0.75;83.75;5
