"x1";"x2";"y";"RandomEffect1";"RandomEffect2"
"1";312.1;9.78;21.99195;"1999";"Autumn"
"2";502.8;12.26;20.463;"1999";"Autumn"
"3";298.4;8.41;20.85;"1999";"Autumn"
"4";374.15;10.7;19.942;"1999";"Autumn"
"5";342.25;9.67;29.536;"1999";"Autumn"
"6";430.4166667;12;16.683;"1999";"Autumn"
"7";361.35;10.57;34.822;"1999";"Autumn"
"8";468.4166667;16.41;19.9838;"1999";"Autumn"
"9";190.1666667;9.68;12.21825;"1999";"Autumn"
"10";529.3333333;16.54;8.323;"1999";"Autumn"
"11";219;9.6;15.033;"1999";"Autumn"
"12";616;13.64;18.138;"1999";"Autumn"
"13";225.1333333;6.73;15.65375;"1999";"Autumn"
"14";380.4615385;7.4;18.83772;"1999";"Autumn"
"15";223.55;10.78;15.275725;"1999";"Autumn"
"16";222.0833333;16.42;6.175;"1999";"Autumn"
"17";311.75;5.99;19.461;"1999";"Autumn"
"18";360.4166667;7.79;14.704;"1999";"Autumn"
"19";252.4166667;9.81;16.1;"1999";"Autumn"
"20";261.5833333;10.98;12.896;"1999";"Autumn"
"21";353.4166667;13.34;18.4486;"1999";"Autumn"
"22";511;13.34;20.7306;"1999";"Autumn"
"23";301.4166667;10.79;16.45619;"1999";"Autumn"
"24";361;11.14;16.8636;"1999";"Autumn"
"25";201.9166667;9.8;11.3366;"1999";"Autumn"
"26";243.25;9.89;11.744145;"1999";"Autumn"
"27";284.5;8.46;14.0346;"1999";"Autumn"
"28";304.4166667;8.48;14.4596;"1999";"Autumn"
"29";250.9166667;7.05;15.030225;"1999";"Autumn"
"30";429.9166667;7.06;16.94543;"1999";"Autumn"
"31";218.75;5.36;14.265945;"1999";"Autumn"
"32";235.6666667;5.36;14.1246;"1999";"Autumn"
"33";250.9166667;6.54;15.557115;"1999";"Autumn"
"34";276.9166667;6.54;16.407595;"1999";"Autumn"
"35";247.8333333;7.48;14.116215;"1999";"Autumn"
"36";280;7.49;14.564965;"1999";"Autumn"
"37";417.6666667;6.88;22.1106;"1999";"Autumn"
"38";443.6666667;6.87;23.1506;"1999";"Autumn"
"39";280;8.65;14.4456;"1999";"Autumn"
"40";589;8.65;19.7946;"1999";"Autumn"
"41";392.0833333;7.6;20.93697;"1999";"Autumn"
"42";419.75;8.2;20.9604;"1999";"Autumn"
"43";335.0769231;8.7;15.684;"1999";"Autumn"
"44";453.3333333;8.7;16.598;"1999";"Autumn"
"45";206.8333333;9.4;11.684;"1999";"Autumn"
"46";289.5;9.6;13.003;"1999";"Autumn"
"47";271.1666667;8.8;16.253;"1999";"Autumn"
"48";451.8333333;9;17.114;"1999";"Autumn"
"49";200.75;9.3;11.41;"1999";"Autumn"
"50";249.6666667;9.4;12.33296;"1999";"Autumn"
"51";186.9166667;6.5;13.216;"1999";"Autumn"
"52";235.9166667;6.6;11.882;"1999";"Autumn"
"53";248.1666667;7.7;17.127;"1999";"Autumn"
"54";300.1666667;7.7;18.157;"1999";"Autumn"
"55";217.5;9.2;11.973;"1999";"Autumn"
"56";462.5833333;9.2;13.81905;"1999";"Autumn"
"57";320.0833333;5.9;25.348;"1999";"Autumn"
"58";355.3333333;6.1;25.437;"1999";"Autumn"
"59";243.5;8.7;15.301;"1999";"Autumn"
"60";257.3333333;8.7;15.238;"1999";"Autumn"
"61";129.75;9.91;6.75555;"1999";"Winter"
"62";124.2;25.5;7.296;"1999";"Winter"
"63";222.65;9.52;18.86421667;"1999";"Winter"
"64";157.3;12.77;9.374166667;"1999";"Winter"
"65";208.85;9.89;16.47083333;"1999";"Winter"
"66";235.55;21.14;11.65166667;"1999";"Winter"
"67";257.65;8.83;23.28833333;"1999";"Winter"
"68";181.25;12.55;7.6725;"1999";"Winter"
"69";234.65;8.06;18.39166667;"1999";"Winter"
"70";203.35;14.55;6.11025;"1999";"Winter"
"71";300.9;6.94;29.83933333;"1999";"Winter"
"72";262.25;7.56;16.712;"1999";"Winter"
"73";233.25;6.44;18.37166667;"1999";"Winter"
"74";260.4;7.99;13.05666667;"1999";"Winter"
"75";239.25;8.31;19.60333333;"1999";"Winter"
"76";261.3;13.23;9.070791667;"1999";"Winter"
"77";224.55;7.61;12.06996667;"1999";"Winter"
"78";813.4;18.62;8.951093333;"1999";"Winter"
"79";230.05;8.14;17.76333333;"1999";"Winter"
"80";213.45;15.87;9.586666667;"1999";"Winter"
"81";131.3;12.99;7.77484;"2000";"Winter"
"82";172.3;23.85;7.502466667;"2000";"Winter"
"83";168.65;12.05;13.10496667;"2000";"Winter"
"84";166.85;12.15;10.39573333;"2000";"Winter"
"85";223.3333333;12.14;8.419333333;"2000";"Winter"
"86";340.4166667;12.42;12.72;"2000";"Winter"
"87";168.65;11.22;12.9396;"2000";"Winter"
"88";430;11.78;10.88866667;"2000";"Winter"
"89";279.5833333;10.97;11.83733333;"2000";"Winter"
"90";536.4166667;11.51;11.756;"2000";"Winter"
"91";279.5833333;9.19;14.71466667;"2000";"Winter"
"92";340.3333333;10.71;8.249333333;"2000";"Winter"
"93";234.6666667;9.84;10.8398;"2000";"Winter"
