SampleID;x1;x2;y
1;7.9749;5.2199;83.3
2;8.7455;5.848;45.4
3;8.1825;5.8146;30.9
4;7.8927;5.9833;15.2
5;7.9033;6.0932;26.3
6;8.1666;5.9817;25.7
7;8.6581;5.8094;40.4
8;8.4398;5.7466;47.1
9;8.2876;5.7755;33.1
10;9.1197;5.6851;30.7
11;7.3779;5.8107;25.6
12;7.6116;6.0007;11.2
13;7.6978;5.9033;8.8
14;7.786;5.7856;28.7
15;7.8435;5.7256;8.2
16;7.8784;5.5794;11.9
17;7.9176;5.3943;11
18;8.3135;5.3571;11.5
19;8.1296;5.7282;4.6
20;7.5805;5.5708;4
21;7.7356;5.546;5.7
22;6.9569;5.3844;3.2
23;8.141;5.461;7.7
24;9.1224;5.4441;9.5
25;9.0523;5.3002;8.4
26;8.5016;5.2377;14.7
27;8.8006;5.3447;13.7
28;7.7047;5.3565;10.2
29;7.9463;5.3757;8.8
30;8.3327;5.3408;21
31;7.7531;5.61;7.4
32;8.2765;5.5441;13.3
33;7.9985;5.4613;13.6081
34;9.005;5.5412;21.5
35;8.9718;5.7526;35.7
36;8.9082;5.6912;39.6
37;8.6783;5.64;45.1
38;8.0287;5.9361;19.4
39;8.2868;5.6561;32.3
40;8.8827;5.6223;37.3
41;9.3776;5.6524;24
42;9.3775;5.6826;25
43;9.2357;5.8216;17.1
44;8.5924;5.7774;34.2
45;8.3826;5.7038;27
46;8.849;5.8435;23.2
47;8.5909;5.6271;12.8
48;8.8775;5.5815;24.8
