SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;323.75;5;1.874198288;9;a
2;260.75;0;1.558196566;9;b
3;293.75;6.608333333;2.2123844;9;c
4;233.8333333;1.316666667;1.845594911;9;d
5;110;1.1;1.683065424;8;1
6;340;5.6;2.091613733;8;10
7;120;1.1;1.935750543;8;11
8;120;1.9;1.908478662;8;12
9;250;3.4;2.31442577;8;13
10;330;4.6;2.261486678;8;14
11;160;2.2;1.920739827;8;15
12;180;1.5;1.50875002;8;16
13;110;0;1.807465222;8;17
14;53;1.1;1.540641862;8;18
15;91;1.2;1.913961039;8;19
16;210;1.4;1.513956069;8;2
17;92;1.3;1.415320731;8;20
18;180;1.3;1.606934137;8;21
19;220;3.5;2.195974149;8;22
20;200;3.1;2.265244777;8;23
21;200;3.1;1.812727572;8;24
22;51;1.4;1.631462769;8;25
23;130;2.7;2.184362583;8;26
24;180;4.3;1.438872533;8;27
25;160;2.8;1.81314153;8;28
26;150;2.5;1.881414577;8;29
27;110;0;1.639223428;8;3
28;97;1.9;1.872341734;8;30
29;120;1.9;2.10878382;8;31
30;160;2.5;1.458946401;8;32
31;190;2.2;1.62914731;8;33
32;130;1.9;1.79680297;8;34
33;93;1.2;1.671363307;8;35
34;180;3.1;2.155111696;8;36
35;310;4.5;2.067747121;8;37
36;260;4.1;2.117523923;8;38
37;130;2;1.994416887;8;39
38;120;0;1.831920605;8;4
39;220;4;1.886003649;8;40
40;140;2.3;2.233640279;8;41
41;280;4.3;2.410808826;8;42
42;120;2.6;2.039635854;8;43
43;220;5.1;2.084607216;8;44
44;240;3.7;1.889740162;8;46
45;220;3.3;2.221593689;8;47
46;580;13;2.075380178;8;48
47;210;5.4;2.199279181;8;49
48;140;0;1.513593002;8;5
49;290;4.2;1.835710094;8;50
50;120;1.7;2.208294461;8;51
51;200;4.3;1.804888622;8;52
52;170;2.1;2.217100612;8;53
53;120;3.4;1.978518357;8;54
54;180;4.3;2.388510057;8;55
55;130;4.3;1.915856362;8;56
56;150;2;2.023662724;8;57
57;180;2.6;1.844282167;8;58
58;91;1.6;1.583815026;8;59
59;180;1.3;1.749454221;8;6
60;110;0;1.751289683;8;60
61;180;2.3;1.644319583;8;61
62;120;2.1;1.34472327;8;62
63;180;3;2.026277399;8;63
64;100;1.8;1.813636325;8;64
65;160;2.5;1.655004558;8;65
66;120;1.8;1.503482474;8;66
67;89;1.4;1.652326199;8;67
68;150;2.5;1.700413117;8;68
69;210;4.4;2.461555637;8;69
70;180;0;1.810094174;8;7
