SampleID;x1;x2;y;RandomEffect; 
1;0.0192;0.2;11.24;2002;
2;0.0197;0.2;11.33;2002;
3;0.0048;5.3;26.08;2002;
4;0.0051;5.3;18.58;2002;
5;0.0195;8.1;9.84;2002;
6;0.0224;29.7;36.97;2002;
7;0.0329;29.7;48.86;2002;
8;0.0262;23.7;13.85;2002;
9;0.0313;11.2;4.41;2002;
10;0.0205;6.7;0.6;2002;
11;0.0205;6.7;0.6;2002;
12;0.0164;16.9;8.44;2003;
13;0.0271;14.6;1.93;2003;
14;0.0132;13.4;12.45;2003;
15;0.0147;5;0.79;2003;
16;0.0147;5;0.79;2003;
17;0.0071;17;9.59;2004;
18;6.00E-04;25.6;42.19;2004;
19;0.0219;23.3;12.28;2004;
20;0.0219;23.3;12.28;2004;
21;0.0233;23.3;12.36;2004;
22;0.0233;23.3;12.36;2004;
23;0.0402;12.4;6.12;2004;
24;0.0402;12.4;6.12;2004;
25;0.0363;12.4;9.4;2004;
26;0.0363;12.4;9.4;2004;
27;0.0093;4.5;3.38;2005;
28;0.0093;4.5;3.38;2005;
29;0.0056;4.5;3.8;2005;
30;0.0056;4.5;3.8;2005;
31;0.029;8.7;6.31;2005;
32;0.0151;8.7;6.1;2005;
33;0.0049;16.1;71.45;2005;
34;0.0058;16.1;70.21;2005;
35;0.0019;22.5;33.62;2005;
36;0.0019;22.5;33.62;2005;
37;0.0029;27.2;29.62;2005;
38;0.0183;29.6;23.65;2005;
39;0.0258;29.6;22.69;2005;
40;0.0194;9.9;9.47;2005;
41;0.0208;9.9;9.83;2005;
42;0.0156;0.3;1.26;2005;
43;0.0156;0.3;1.26;2005;
44;0.0137;4.6;0.89;2006;
45;0.0133;4.6;0.5;2006;
46;0.0136;5.3;1.58;2006;
47;0.0127;5.3;0.98;2006;
48;0.0053;14.4;24.48;2006;
49;0.0043;14.4;25.82;2006;
50;0.0053;17.2;20.62;2006;
51;0.0023;17.2;18.41;2006;
